,CODE_COMMUNE,LIBL_COMMUNE,NOM_EPCI,NOM_CANTON,TOTAL,TOTAL_FEM,TOTAL_HOM,TOTAL_M75A,TOTAL_7584A,TOTAL_P85A,TOTAL_DOM,TOTAL_ETA,ANNEE_REF,CODE_CANTON
1,63233,MONTAIGUT,Communauté de communes Sancy Artense,MONTAIGUT,23,17,6,0,0,17,0,0,2014,0
2,63234,MONTAIGUT-LE-BLANC,Communauté de communes Puy et Couzes,CHAMPEIX,20,15,0,0,6,14,0,0,2014,0
3,63235,MONTCEL,Communauté de communes de Côtes de Combrailles,COMBRONDE,0,0,0,0,0,0,0,0,2014,0
4,63236,MONT-DORE,Communauté de communes du Massif du Sancy,ROCHEFORT-MONTAGNE,44,36,8,0,12,30,0,0,2014,0
5,63237,MONTEL-DE-GELAT,Communauté de communes de Hautes Combrailles,PONTAUMUR,22,18,0,0,0,14,0,0,2014,0
6,63238,MONTFERMY,Communauté de communes Pontgibaud Sioule et Volcans,PONTGIBAUD,7,6,0,0,0,6,0,0,2014,0
7,63239,MONTMORIN,Communauté de communes Billom Saint-Dier Vallée du Jauron,BILLOM,16,10,6,0,6,7,0,0,2014,0
8,63240,MONTPENSIER,Communauté de communes Nord Limagne,AIGUEPERSE,0,0,0,0,0,0,0,0,2014,0
9,63241,MONTPEYROUX,Communauté de communes Couze Val d'Allier,ISSOIRE,7,0,0,0,0,0,0,0,2014,0
10,63242,MORIAT,Communauté de communes Lembron Val d'Allier,SAINT-GERMAIN-LEMBRON,15,9,6,0,0,7,0,0,2014,0
11,63243,MOUREUILLE,Communauté de communes Sancy Artense,MONTAIGUT,10,6,0,0,0,0,0,0,2014,0
12,63244,LA MOUTADE,Riom Communauté,RIOM-EST,7,0,0,0,0,0,0,0,2014,0
13,63245,MOZAC,Riom Communauté,RIOM-OUEST,66,50,16,0,19,42,0,0,2014,0
14,63246,MURAT-LE-QUAIRE,Communauté de communes du Massif du Sancy,ROCHEFORT-MONTAGNE,8,6,0,0,0,6,0,0,2014,0
15,63247,MUROL,Communauté de communes du Massif du Sancy,BESSE-ET-SAINT-ANASTAISE,27,20,7,0,0,21,0,0,2014,0
16,63248,NEBOUZAT,Communauté de communes de Rochefort-Montagne,ROCHEFORT-MONTAGNE,24,17,7,0,10,13,0,0,2014,0
17,63249,NERONDE-SUR-DORE,Communauté de communes du Pays de Courpière,LEZOUX,15,11,0,0,6,9,0,0,2014,0
18,63250,NESCHERS,Communauté de communes Couze Val d'Allier,CHAMPEIX,8,0,0,0,0,0,0,0,2014,0
19,63251,NEUF-EGLISE,Communauté de communes du Pays de Menat,MENAT,13,10,0,0,0,10,0,0,2014,0
20,63252,NEUVILLE,Communauté de communes Billom Saint-Dier Vallée du Jauron,BILLOM,11,8,0,0,0,9,0,0,2014,0
21,63253,NOALHAT,Communauté de communes entre Allier et Bois Noirs,CHATELDON,0,0,0,0,0,0,0,0,2014,0
22,63254,NOHANENT,Communauté d'Agglomération Clermont-Communauté,ROYAT,31,25,6,0,9,18,0,0,2014,0
