,CODE_COMMUNE,LIBL_COMMUNE,NOM_EPCI,NOM_CANTON,TOTAL,TOTAL_FEM,TOTAL_HOM,TOTAL_M75A,TOTAL_7584A,TOTAL_P85A,TOTAL_DOM,TOTAL_ETA,ANNEE_REF,CODE_CANTON
1,63267,PALLADUC,Thiers Dore et Montagne,THIERS,17,11,6,0,0,10,6,11,2019,6330
2,63275,PERRIER,Agglo Pays d'Issoire,ISSOIRE,20,14,6,0,0,14,10,10,2019,6318
3,63277,PESLIERES,Agglo Pays d'Issoire,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2019,6306
4,63310,SAINTE-AGATHE,Thiers Dore et Montagne,THIERS,0,0,0,0,0,0,0,0,2019,6330
5,63313,SAINT-ALYRE-ES-MONTAGNE,Agglo Pays d'Issoire,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2019,6306
6,63345,SAINT-GENES-CHAMPANELLE,Clermont Auvergne Métropole,BEAUMONT,44,26,18,6,8,30,29,15,2019,6304
7,63357,SAINT-HERENT,Agglo Pays d'Issoire,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2019,6306
8,63419,SERVANT,Pays de Saint-Eloy,SAINT-ELOY LES MINES,21,13,8,0,6,15,14,7,2019,6326
9,63435,TOURZEL-RONZIERES,Agglo Pays d'Issoire,LE SANCY,0,0,0,0,0,0,0,0,2019,6329
10,63463,VISCOMTAT,Thiers Dore et Montagne,THIERS,24,20,0,0,0,19,16,8,2019,6330
11,63470,VOLVIC,Riom Limagne et Volcans,CHATELGUYON,59,41,18,0,16,38,32,27,2019,6309
12,63003,AMBERT,Ambert Livradois Forez,AMBERT,248,179,69,27,63,158,117,131,2019,6302
13,63006,ANZAT-LE-LUGUET,Agglo Pays d'Issoire,BRASSAC-LES-MINES,10,8,0,0,0,6,8,0,2019,6306
14,63014,AUBIERE,Clermont Auvergne Métropole,AUBIERE,207,158,49,16,38,153,109,98,2019,6303
15,63025,AYAT-SUR-SIOULE,Pays de Saint-Eloy,SAINT-ELOY LES MINES,6,0,0,0,0,0,0,0,2019,6326
16,63030,BAS-ET-LEZAT,Plaine Limagne,MARINGUES,0,0,0,0,0,0,0,0,2019,6320
17,63032,BEAUMONT,Clermont Auvergne Métropole,BEAUMONT,193,151,42,26,41,126,102,91,2019,6304
18,63034,BEAUREGARD-L'EVEQUE,Billom Communauté,BILLOM,20,18,0,0,0,16,7,13,2019,6305
19,63056,BROUSSE,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,10,9,0,0,0,6,0,6,2019,6322
20,63058,BULHON,Entre Dore et Allier,LEZOUX,6,0,0,0,0,0,6,0,2019,6319
21,63069,LE CENDRE,Clermont Auvergne Métropole,COURNON,94,70,24,10,25,59,46,48,2019,6316
22,63085,CHAPDES-BEAUFORT,Chavanon Combrailles et Volcans,SAINT-OURS,25,18,7,0,0,18,15,10,2019,6328
23,63098,CHASTREIX,Massif du Sancy,LE SANCY,8,0,0,0,0,0,0,0,2019,6329
24,63103,CHATELGUYON,Riom Limagne et Volcans,CHATELGUYON,109,78,31,6,30,73,62,47,2019,6309
25,63106,CHAURIAT,Billom Communauté,BILLOM,25,19,6,0,6,18,16,9,2019,6305
26,63114,COLLANGES,Agglo Pays d'Issoire,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2019,6306
27,63134,DAUZAT-SUR-VODABLE,Agglo Pays d'Issoire,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2019,6306
28,63146,EGLISENEUVE-PRES-BILLOM,Billom Communauté,BILLOM,16,11,0,0,0,9,8,8,2019,6305
29,63147,EGLISOLLES,Ambert Livradois Forez,AMBERT,16,10,6,0,0,8,10,6,2019,6302
30,63151,ESCOUTOUX,Thiers Dore et Montagne,THIERS,22,15,7,0,0,17,12,10,2019,6330
31,63158,FAYET-RONAYE,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,0,0,0,0,0,0,0,0,2019,6322
32,63162,FOURNOLS,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,18,11,7,0,0,10,11,7,2019,6322
33,63091,CHARBONNIER-LES-MINES,Agglo Pays d'Issoire,BRASSAC-LES-MINES,21,17,0,0,6,13,16,0,2019,6306
34,63150,ENVAL,Riom Limagne et Volcans,CHATELGUYON,15,9,6,0,6,8,8,7,2019,6309
35,63233,MONTAIGUT,Pays de Saint-Eloy,SAINT-ELOY LES MINES,14,12,0,0,0,7,10,0,2019,6326
36,63249,NERONDE-SUR-DORE,Thiers Dore et Montagne,LES MONTS-DU-LIVRADOIS,16,12,0,0,0,11,9,7,2019,6322
37,63346,SAINT-GENES-CHAMPESPE,Massif du Sancy,LE SANCY,14,13,0,0,0,9,8,6,2019,6329
38,63022,AUZAT-LA-COMBELLE,Agglo Pays d'Issoire,BRASSAC-LES-MINES,72,57,15,9,18,45,39,33,2019,6306
39,63066,CELLES-SUR-DUROLLE,Thiers Dore et Montagne,THIERS,57,49,8,0,9,43,30,27,2019,6330
40,63138,DORAT,Thiers Dore et Montagne,THIERS,13,7,6,0,6,0,0,8,2019,6330
41,63227,MIREFLEURS,Mond'Arverne Communauté,VIC-LE-COMTE,32,27,0,0,11,19,16,16,2019,6331
42,63054,LE BROC,Agglo Pays d'Issoire,ISSOIRE,16,12,0,0,0,9,8,8,2019,6318
43,63095,CHARNAT,Thiers Dore et Montagne,MARINGUES,8,7,0,0,0,7,6,0,2019,6320
44,63125,COURPIERE,Thiers Dore et Montagne,LES MONTS-DU-LIVRADOIS,137,98,39,21,39,77,82,55,2019,6322
45,63061,BUSSIERES-ET-PRUNS,Plaine Limagne,AIGUEPERSE,6,0,0,0,0,0,0,0,2019,6301
46,63033,BEAUMONT-LES-RANDAN,Plaine Limagne,MARINGUES,0,0,0,0,0,0,0,0,2019,6320
47,63082,CHAMPS,Combrailles Sioule et Morge,SAINT-GEORGES DE MONS,9,0,0,0,0,0,0,0,2019,6327
48,63235,MONTCEL,Combrailles Sioule et Morge,SAINT-GEORGES DE MONS,0,0,0,0,0,0,0,0,2019,6327
49,63379,SAINT-MYON,Combrailles Sioule et Morge,SAINT-GEORGES DE MONS,7,0,0,0,0,7,0,0,2019,6327
50,63140,DURMIGNAT,Pays de Saint-Eloy,SAINT-ELOY LES MINES,6,0,0,0,0,0,0,0,2019,6326
51,63281,PIONSAT,Pays de Saint-Eloy,SAINT-ELOY LES MINES,36,29,7,0,7,27,24,12,2019,6326
52,63373,SAINT-MAIGNER,Pays de Saint-Eloy,SAINT-ELOY LES MINES,0,0,0,0,0,0,0,0,2019,6326
53,63064,LA CELLE,Chavanon Combrailles et Volcans,SAINT-OURS,0,0,0,0,0,0,0,0,2019,6328
54,63336,SAINT-DONAT,Dômes Sancy Artense,LE SANCY,9,7,0,0,0,8,0,0,2019,6329
55,63376,SAINT-MARTIN-D'OLLIERES,Agglo Pays d'Issoire,BRASSAC-LES-MINES,9,0,0,0,0,6,7,0,2019,6306
56,63409,SAURIER,Agglo Pays d'Issoire,LE SANCY,0,0,0,0,0,0,0,0,2019,6329
57,63431,THIOLIERES,Ambert Livradois Forez,AMBERT,0,0,0,0,0,0,0,0,2019,6302
58,63462,VIRLET,Pays de Saint-Eloy,SAINT-ELOY LES MINES,0,0,0,0,0,0,0,0,2019,6326
59,63190,LARODDE,Dômes Sancy Artense,LE SANCY,13,9,0,0,0,10,10,0,2019,6329
60,63280,PIGNOLS,Mond'Arverne Communauté,VIC-LE-COMTE,0,0,0,0,0,0,0,0,2019,6331
61,63051,BRENAT,Agglo Pays d'Issoire,ISSOIRE,12,9,0,0,0,9,9,0,2019,6318
62,63242,MORIAT,Agglo Pays d'Issoire,BRASSAC-LES-MINES,15,8,7,0,0,11,13,0,2019,6306
63,63368,SAINT-JULIEN-DE-COPPEL,Billom Communauté,BILLOM,19,11,8,0,0,14,8,11,2019,6305
64,63207,MARAT,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,32,20,12,0,0,24,9,23,2019,6322
65,63461,VINZELLES,Entre Dore et Allier,LEZOUX,17,11,6,0,0,14,11,6,2019,6319
66,63181,JOSERAND,Combrailles Sioule et Morge,SAINT-GEORGES DE MONS,0,0,0,0,0,0,0,0,2019,6327
67,63118,CONDAT-EN-COMBRAILLE,Chavanon Combrailles et Volcans,SAINT-OURS,31,20,11,0,7,21,19,12,2019,6328
68,63214,LES MARTRES-DE-VEYRE,Mond'Arverne Communauté,LES MARTRES-DE-VEYRE,72,52,20,7,20,45,27,45,2019,6321
69,63179,JOB,Ambert Livradois Forez,AMBERT,20,13,7,0,0,16,0,15,2019,6302
70,63441,VALCIVIERES,Ambert Livradois Forez,AMBERT,0,0,0,0,0,0,0,0,2019,6302
71,63223,MENAT,Pays de Saint-Eloy,SAINT-ELOY LES MINES,21,16,0,0,6,12,12,9,2019,6326
72,63186,LANDOGNE,Chavanon Combrailles et Volcans,SAINT-OURS,8,0,0,0,0,6,0,0,2019,6328
73,63222,MEILHAUD,Agglo Pays d'Issoire,ISSOIRE,6,0,0,0,0,0,0,0,2019,6318
74,63254,NOHANENT,Clermont Auvergne Métropole,CEBAZAT,31,22,9,0,9,18,17,14,2019,6307
75,63019,AULNAT,Clermont Auvergne Métropole,GERZAT,91,62,29,10,29,52,55,36,2019,6317
76,63075,CHAMALIERES,Clermont Auvergne Métropole,CHAMALIERES,439,348,91,42,78,319,168,271,2019,6308
77,63318,SAINT-ANGEL,Combrailles Sioule et Morge,SAINT-GEORGES DE MONS,9,6,0,0,0,6,7,0,2019,6327
78,63015,AUBUSSON-D'AUVERGNE,Thiers Dore et Montagne,LES MONTS-DU-LIVRADOIS,0,0,0,0,0,0,0,0,2019,6322
79,63104,LA CHAULME,Ambert Livradois Forez,AMBERT,0,0,0,0,0,0,0,0,2019,6302
80,63139,DORE-L'EGLISE,Ambert Livradois Forez,AMBERT,20,15,0,0,7,10,13,7,2019,6302
81,63057,LE BRUGERON,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,16,11,0,0,0,10,10,6,2019,6322
82,63304,ROCHE-D'AGOUX,Pays de Saint-Eloy,SAINT-ELOY LES MINES,0,0,0,0,0,0,0,0,2019,6326
83,63355,SAINT-GERVAIS-SOUS-MEYMONT,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,15,11,0,0,0,10,9,6,2019,6322
84,63436,TRALAIGUES,Chavanon Combrailles et Volcans,SAINT-OURS,0,0,0,0,0,0,0,0,2019,6328
85,63193,LEMPDES,Clermont Auvergne Métropole,PONT-DU-CHATEAU,176,123,53,19,45,112,95,81,2019,6324
86,63261,ORBEIL,Agglo Pays d'Issoire,ISSOIRE,8,0,0,0,0,6,0,0,2019,6318
87,63142,ECHANDELYS,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,12,11,0,0,0,6,0,8,2019,6322
88,63119,CONDAT-LES-MONTBOISSIER,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,12,10,0,0,0,0,11,0,2019,6322
89,63248,NEBOUZAT,Dômes Sancy Artense,ORCINES,20,15,0,0,0,17,9,11,2019,6323
90,63238,MONTFERMY,Chavanon Combrailles et Volcans,SAINT-OURS,0,0,0,0,0,0,0,0,2019,6328
91,63260,OLMET,Thiers Dore et Montagne,LES MONTS-DU-LIVRADOIS,0,0,0,0,0,0,0,0,2019,6322
92,63090,CHAPTUZAT,Plaine Limagne,AIGUEPERSE,8,7,0,0,0,0,0,0,2019,6301
93,63418,SERMENTIZON,Thiers Dore et Montagne,LES MONTS-DU-LIVRADOIS,13,11,0,0,0,9,0,8,2019,6322
94,63369,SAINT-JULIEN-LA-GENESTE,Pays de Saint-Eloy,SAINT-ELOY LES MINES,0,0,0,0,0,0,0,0,2019,6326
95,63296,RAVEL,Entre Dore et Allier,LEZOUX,11,7,0,0,0,6,6,0,2019,6319
