,CODE_COMMUNE,LIBL_COMMUNE,NOM_EPCI,NOM_CANTON,TOTAL,TOTAL_FEM,TOTAL_HOM,TOTAL_M75A,TOTAL_7584A,TOTAL_P85A,TOTAL_DOM,TOTAL_ETA,ANNEE_REF,CODE_CANTON
252,63252,NEUVILLE,Billom Communauté,BILLOM,9,7,0,0,0,6,0,0,2020,6305
253,63128,CREVANT-LAVEINE,Entre Dore et Allier,LEZOUX,19,15,0,0,0,13,11,8,2020,6319
254,63131,CULHAT,Entre Dore et Allier,LEZOUX,20,15,0,0,0,17,7,13,2020,6319
255,63195,LEZOUX,Entre Dore et Allier,LEZOUX,129,97,32,18,22,89,68,61,2020,6319
256,63027,BAFFIE,Ambert Livradois Forez,AMBERT,0,0,0,0,0,0,0,0,2020,6302
257,63394,SAINT-ROMAIN,Ambert Livradois Forez,AMBERT,10,7,0,0,0,8,0,0,2020,6302
258,63065,CEILLOUX,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,6,0,0,0,0,0,0,0,2020,6322
259,63076,CHAMBON-SUR-DOLORE,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,11,8,0,0,0,6,7,0,2020,6322
260,63207,MARAT,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,34,24,10,0,0,27,14,20,2020,6322
261,63454,VERTOLAYE,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,24,16,8,0,7,15,15,9,2020,6322
262,63031,BEAULIEU,Agglo Pays d'Issoire,BRASSAC-LES-MINES,11,8,0,0,0,7,7,0,2020,6306
263,63046,BOUDES,Agglo Pays d'Issoire,BRASSAC-LES-MINES,6,0,0,0,0,0,0,0,2020,6306
264,63079,CHAMPAGNAT-LE-JEUNE,Agglo Pays d'Issoire,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2020,6306
265,63156,ESTEIL,Agglo Pays d'Issoire,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2020,6306
266,63160,AULHAT-FLAT,Agglo Pays d'Issoire,ISSOIRE,9,6,0,0,6,0,0,0,2020,6318
267,63205,MANGLIEU,Mond'Arverne Communauté,VIC-LE-COMTE,8,0,0,0,0,6,0,0,2020,6331
268,63269,PARENT,Agglo Pays d'Issoire,VIC-LE-COMTE,21,16,0,0,0,15,16,0,2020,6331
269,63044,BONGHEAT,Billom Communauté,BILLOM,0,0,0,0,0,0,0,0,2020,6305
270,63461,VINZELLES,Entre Dore et Allier,LEZOUX,12,8,0,0,0,10,7,0,2020,6319
271,63400,SAINT-SYLVESTRE-PRAGOULIN,Plaine Limagne,MARINGUES,25,13,12,0,0,18,11,14,2020,6320
272,63143,EFFIAT,Plaine Limagne,AIGUEPERSE,17,11,6,0,0,13,6,11,2020,6301
273,63200,LUSSAT,Riom Limagne et Volcans,AIGUEPERSE,19,13,6,0,0,14,10,9,2020,6301
274,63300,RIOM,Riom Limagne et Volcans,RIOM,338,253,85,50,77,211,176,162,2020,6325
275,63116,COMBRONDE,Combrailles Sioule et Morge,SAINT-GEORGES-DE-MONS,55,42,13,7,7,41,31,24,2020,6327
276,63101,CHATEAU-SUR-CHER,Pays de Saint-Eloy,SAINT-ELOY-LES-MINES,0,0,0,0,0,0,0,0,2020,6326
277,63293,LE QUARTIER,Pays de Saint-Eloy,SAINT-ELOY-LES-MINES,0,0,0,0,0,0,0,0,2020,6326
278,63360,SAINT-HILAIRE,Pays de Saint-Eloy,SAINT-ELOY-LES-MINES,8,6,0,0,0,6,8,0,2020,6326
279,63369,SAINT-JULIEN-LA-GENESTE,Pays de Saint-Eloy,SAINT-ELOY-LES-MINES,0,0,0,0,0,0,0,0,2020,6326
280,63115,COMBRAILLES,Chavanon Combrailles et Volcans,SAINT-OURS,7,0,0,0,0,0,0,0,2020,6328
281,63359,SAINT-HILAIRE-LES-MONGES,Chavanon Combrailles et Volcans,SAINT-OURS,0,0,0,0,0,0,0,0,2020,6328
