,CODE_COMMUNE,LIBL_COMMUNE,NOM_EPCI,NOM_CANTON,TOTAL,TOTAL_FEM,TOTAL_HOM,TOTAL_M75A,TOTAL_7584A,TOTAL_P85A,TOTAL_DOM,TOTAL_ETA,ANNEE_REF,CODE_CANTON
1,63129,CROS,Dômes Sancy Artense,Le Sancy,7,0,0,0,0,0,0,0,2016,0
2,63130,LA CROUZILLE,Pays de Saint-Eloy,Saint-Eloy-Les-Mines,14,9,0,0,0,8,0,0,2016,0
3,63131,CULHAT,Entre Dore et Allier,Lezoux,22,17,0,0,6,16,0,0,2016,0
4,63132,CUNLHAT,Ambert Livradois Forez,Les Monts du Livradois,32,21,11,6,9,17,0,0,2016,0
5,63133,DALLET,Billom Communauté,Pont-du-Château,18,15,0,0,6,10,0,0,2016,0
6,63134,DAUZAT-SUR-VODABLE,Agglo Pays d'Issoire,Brassac-les-Mines,0,0,0,0,0,0,0,0,2016,0
7,63135,DAVAYAT,Combrailles Sioule et Morge,Saint-Georges de Mons,8,0,0,0,0,6,0,0,2016,0
8,63136,DOMAIZE,Ambert Livradois Forez,Les Monts du Livradois,0,0,0,0,0,0,0,0,2016,0
9,63137,DORANGES,Ambert Livradois Forez,Ambert,13,8,0,0,6,6,0,0,2016,0
10,63138,DORAT,Thiers Dore et Montagne,Thiers,15,11,0,0,0,8,0,0,2016,0
11,63139,DORE-L'EGLISE,Ambert Livradois Forez,Ambert,16,14,0,0,0,7,0,0,2016,0
12,63140,DURMIGNAT,Pays de Saint-Eloy,Saint-Eloy-Les-Mines,0,0,0,0,0,0,0,0,2016,0
13,63141,DURTOL,Clermont Auvergne Métropole,Cébazat,32,28,0,0,6,25,0,0,2016,0
14,63142,ECHANDELYS,Ambert Livradois Forez,Les Monts du Livradois,12,11,0,0,0,6,0,0,2016,0
15,63143,EFFIAT,Plaine Limagne,Aigueperse,18,13,0,0,6,11,0,0,2016,0
16,63144,EGLISENEUVE-D'ENTRAIGUES,Massif du Sancy,Le Sancy,28,22,6,0,7,20,0,0,2016,0
17,63145,EGLISENEUVE-DES-LIARDS,Agglo Pays d'Issoire,Brassac-les-Mines,7,6,0,0,0,0,0,0,2016,0
18,63146,EGLISENEUVE-PRES-BILLOM,Billom Communauté,Billom,17,14,0,0,0,11,0,0,2016,0
19,63147,EGLISOLLES,Ambert Livradois Forez,Ambert,10,6,0,0,0,0,0,0,2016,0
20,63148,ENNEZAT,Riom Limagne et Volcans,Aigueperse,26,19,7,0,0,19,0,0,2016,0
21,63149,ENTRAIGUES,Riom Limagne et Volcans,Aigueperse,9,8,0,0,0,9,0,0,2016,0
22,63150,ENVAL,Riom Limagne et Volcans,Châtelguyon,14,8,6,0,0,7,0,0,2016,0
23,63151,ESCOUTOUX,Thiers Dore et Montagne,Thiers,33,26,7,0,7,21,0,0,2016,0
24,63152,ESPINASSE,Pays de Saint-Eloy,Saint-Eloy-Les-Mines,9,0,0,0,0,0,0,0,2016,0
25,63153,ESPINCHAL,Massif du Sancy,Le Sancy,0,0,0,0,0,0,0,0,2016,0
26,63154,ESPIRAT,Billom Communauté,Billom,8,0,0,0,0,6,0,0,2016,0
27,63155,ESTANDEUIL,Billom Communauté,Billom,0,0,0,0,0,0,0,0,2016,0
28,63156,ESTEIL,Agglo Pays d'Issoire,Brassac-les-Mines,0,0,0,0,0,0,0,0,2016,0
29,63157,FAYET-LE-CHATEAU,Billom Communauté,Billom,7,0,0,0,0,0,0,0,2016,0
30,63158,FAYET-RONAYE,Ambert Livradois Forez,Les Monts du Livradois,0,0,0,0,0,0,0,0,2016,0
31,63159,FERNOEL,Chavanon Combrailles et Volcans,Saint-Ours,10,8,0,0,6,0,0,0,2016,0
32,63160,AULHAT-FLAT,Agglo Pays d'Issoire,Issoire,8,0,0,0,0,0,0,0,2016,0
33,63161,LA FORIE,Ambert Livradois Forez,Ambert,11,7,0,0,0,7,0,0,2016,0
34,63162,FOURNOLS,Ambert Livradois Forez,Les Monts du Livradois,15,9,6,0,0,7,0,0,2016,0
35,63163,GELLES,Dômes Sancy Artense,Orcines,33,22,11,0,13,16,0,0,2016,0
36,63164,GERZAT,Clermont Auvergne Métropole,Gerzat,154,109,45,23,40,91,0,0,2016,0
37,63165,GIAT,Chavanon Combrailles et Volcans,Saint-Ours,38,30,8,6,7,25,0,0,2016,0
38,63166,GIGNAT,Agglo Pays d'Issoire,Brassac-les-Mines,7,0,0,0,0,6,0,0,2016,0
39,63167,GIMEAUX,Combrailles Sioule et Morge,Saint-Georges de Mons,7,0,0,0,0,0,0,0,2016,0
40,63168,GLAINE-MONTAIGUT,Billom Communauté,Billom,6,0,0,0,0,0,0,0,2016,0
41,63169,LA GODIVELLE,Massif du Sancy,Brassac-les-Mines,0,0,0,0,0,0,0,0,2016,0
42,63170,LA GOUTELLE,Chavanon Combrailles et Volcans,Saint-Ours,20,13,7,0,8,12,0,0,2016,0
43,63171,GOUTTIERES,Pays de Saint-Eloy,Saint-Eloy-Les-Mines,7,7,0,0,0,0,0,0,2016,0
44,63172,GRANDEYROLLES,Agglo Pays d'Issoire,Le Sancy,0,0,0,0,0,0,0,0,2016,0
45,63173,GRANDRIF,Ambert Livradois Forez,Ambert,6,0,0,0,0,0,0,0,2016,0
46,63174,GRANDVAL,Ambert Livradois Forez,Les Monts du Livradois,0,0,0,0,0,0,0,0,2016,0
47,63175,HERMENT,Chavanon Combrailles et Volcans,Saint-Ours,15,9,6,0,6,9,0,0,2016,0
48,63176,HEUME-L'EGLISE,Dômes Sancy Artense,Orcines,0,0,0,0,0,0,0,0,2016,0
49,63177,ISSERTEAUX,Billom Communauté,Billom,12,9,0,0,0,8,0,0,2016,0
50,63178,ISSOIRE,Agglo Pays d'Issoire,Issoire,389,294,95,54,101,234,0,0,2016,0
51,63179,JOB,Ambert Livradois Forez,Ambert,24,14,10,0,0,20,0,0,2016,0
52,63180,JOZE,Entre Dore et Allier,Lezoux,19,17,0,0,6,12,0,0,2016,0
53,63181,JOSERAND,Combrailles Sioule et Morge,Saint-Georges de Mons,8,0,0,0,0,7,0,0,2016,0
54,63182,JUMEAUX,Agglo Pays d'Issoire,Brassac-les-Mines,30,20,10,0,7,20,0,0,2016,0
55,63183,LABESSETTE,Dômes Sancy Artense,Le Sancy,0,0,0,0,0,0,0,0,2016,0
56,63184,LACHAUX,Thiers Dore et Montagne,Maringues,10,0,0,0,0,6,0,0,2016,0
57,63185,LAMONTGIE,Agglo Pays d'Issoire,Brassac-les-Mines,12,10,0,0,0,8,0,0,2016,0
58,63186,LANDOGNE,Chavanon Combrailles et Volcans,Saint-Ours,10,7,0,0,0,0,0,0,2016,0
59,63187,LAPEYROUSE,Pays de Saint-Eloy,Saint-Eloy-Les-Mines,20,15,0,0,0,13,0,0,2016,0
60,63188,LAPS,Mond'Arverne Communauté,Vic-le-Comte,10,6,0,0,0,8,0,0,2016,0
