,CODE_COMMUNE,LIBL_COMMUNE,NOM_EPCI,NOM_CANTON,TOTAL,TOTAL_FEM,TOTAL_HOM,TOTAL_M75A,TOTAL_7584A,TOTAL_P85A,TOTAL_DOM,TOTAL_ETA,ANNEE_REF,CODE_CANTON
1,63356,SAINT-GERVAZY,Agglo Pays d'Issoire,Brassac-Les-Mines,8,8,0,0,0,6,7,0,2017,0
2,63375,SAINT-MARTIN-DES-PLAINS,Agglo Pays d'Issoire,Brassac-Les-Mines,0,0,0,0,0,0,0,0,2017,0
3,63415,SAUXILLANGES,Agglo Pays d'Issoire,Brassac-Les-Mines,30,23,7,0,10,15,24,6,2017,0
4,63442,VALZ-SOUS-CHATEAUNEUF,Agglo Pays d'Issoire,Brassac-Les-Mines,0,0,0,0,0,0,0,0,2017,0
5,63040,BILLOM,Billom Communauté,Billom,102,84,18,14,31,57,47,55,2017,0
6,63049,BOUZEL,Billom Communauté,Billom,6,0,0,0,0,0,0,0,2017,0
7,63154,ESPIRAT,Billom Communauté,Billom,9,6,0,0,0,6,6,0,2017,0
8,63155,ESTANDEUIL,Billom Communauté,Billom,6,0,0,0,0,6,0,0,2017,0
9,63226,MEZEL,Billom Communauté,Billom,0,0,0,0,0,0,0,0,2017,0
10,63252,NEUVILLE,Billom Communauté,Billom,10,6,0,0,0,8,0,6,2017,0
11,63368,SAINT-JULIEN-DE-COPPEL,Billom Communauté,Billom,21,15,6,0,0,16,10,11,2017,0
12,63438,TREZIOUX,Billom Communauté,Billom,12,10,0,0,0,9,0,7,2017,0
13,63128,CREVANT-LAVEINE,Entre Dore et Allier,Lezoux,14,10,0,0,0,9,7,7,2017,0
14,63131,CULHAT,Entre Dore et Allier,Lezoux,21,16,0,0,7,14,14,7,2017,0
15,63195,LEZOUX,Entre Dore et Allier,Lezoux,147,111,36,13,30,104,81,66,2017,0
16,63265,ORLEAT,Entre Dore et Allier,Lezoux,30,22,8,0,8,21,18,12,2017,0
17,63027,BAFFIE,Ambert Livradois Forez,Ambert,0,0,0,0,0,0,0,0,2017,0
18,63105,CHAUMONT-LE-BOURG,Ambert Livradois Forez,Ambert,8,7,0,0,0,7,0,0,2017,0
19,63394,SAINT-ROMAIN,Ambert Livradois Forez,Ambert,10,6,0,0,0,7,0,0,2017,0
20,63002,AIX-LA-FAYETTE,Ambert Livradois Forez,Monts du Livradois,0,0,0,0,0,0,0,0,2017,0
21,63065,CEILLOUX,Ambert Livradois Forez,Monts du Livradois,6,0,0,0,0,0,0,0,2017,0
22,63076,CHAMBON-SUR-DOLORE,Ambert Livradois Forez,Monts du Livradois,7,7,0,0,0,0,6,0,2017,0
23,63142,ECHANDELYS,Ambert Livradois Forez,Monts du Livradois,11,11,0,0,6,0,8,0,2017,0
24,63207,MARAT,Ambert Livradois Forez,Monts du Livradois,36,21,15,0,7,25,19,17,2017,0
25,63337,SAINT-ELOY-LA-GLACIERE,Ambert Livradois Forez,Monts du Livradois,0,0,0,0,0,0,0,0,2017,0
26,63343,SAINT-FLOUR,Thiers Dore et Montagne,Monts du Livradois,0,0,0,0,0,0,0,0,2017,0
27,63434,TOURS-SUR-MEYMONT,Ambert Livradois Forez,Monts du Livradois,20,12,8,0,0,14,11,9,2017,0
28,63454,VERTOLAYE,Ambert Livradois Forez,Monts du Livradois,19,18,0,0,0,14,11,8,2017,0
29,63031,BEAULIEU,Agglo Pays d'Issoire,Brassac-Les-Mines,15,12,0,0,0,9,10,0,2017,0
30,63046,BOUDES,Agglo Pays d'Issoire,Brassac-Les-Mines,0,0,0,0,0,0,0,0,2017,0
31,63079,CHAMPAGNAT-LE-JEUNE,Agglo Pays d'Issoire,Brassac-Les-Mines,6,0,0,0,0,0,0,0,2017,0
32,63156,ESTEIL,Agglo Pays d'Issoire,Brassac-Les-Mines,0,0,0,0,0,0,0,0,2017,0
33,63209,MAREUGHEOL,Agglo Pays d'Issoire,Brassac-Les-Mines,0,0,0,0,0,0,0,0,2017,0
34,63255,NONETTE-ORSONNETTE,Agglo Pays d'Issoire,Brassac-Les-Mines,12,10,0,0,0,10,7,0,2017,0
35,63367,SAINT-JEAN-SAINT-GERVAIS,Agglo Pays d'Issoire,Brassac-Les-Mines,0,0,0,0,0,0,0,0,2017,0
36,63458,VILLENEUVE,Agglo Pays d'Issoire,Brassac-Les-Mines,0,0,0,0,0,0,0,0,2017,0
37,63160,AULHAT-FLAT,Agglo Pays d'Issoire,Issoire,9,6,0,0,0,0,0,0,2017,0
38,63205,MANGLIEU,Mond'Arverne Communauté,Vic-Le-Comte,11,8,0,0,0,9,6,0,2017,0
39,63269,PARENT,Agglo Pays d'Issoire,Vic-Le-Comte,21,15,6,0,0,15,13,8,2017,0
40,63044,BONGHEAT,Billom Communauté,Billom,6,0,0,0,0,0,6,0,2017,0
41,63461,VINZELLES,Entre Dore et Allier,Lezoux,16,11,0,0,0,11,9,7,2017,0
42,63295,RANDAN,Plaine Limagne,Maringues,37,28,9,0,11,22,21,16,2017,0
43,63301,RIS,Thiers Dore et Montagne,Maringues,21,16,0,0,0,12,14,7,2017,0
44,63333,SAINT-DENIS-COMBARNAZAT,Plaine Limagne,Maringues,6,0,0,0,0,0,0,6,2017,0
45,63400,SAINT-SYLVESTRE-PRAGOULIN,Plaine Limagne,Maringues,30,19,11,0,0,24,18,12,2017,0
46,63143,EFFIAT,Plaine Limagne,Aigueperse,18,14,0,0,0,12,7,11,2017,0
47,63200,LUSSAT,Riom Limagne et Volcans,Aigueperse,19,13,6,0,0,12,14,0,2017,0
48,63300,RIOM,Riom Limagne et Volcans,Riom,364,272,92,36,78,250,177,187,2017,0
49,63116,COMBRONDE,Combrailles Sioule et Morge,Saint-Georges-de-Mons,50,33,17,0,11,35,26,24,2017,0
50,63181,JOSERAND,Combrailles Sioule et Morge,Saint-Georges-de-Mons,6,0,0,0,0,0,0,0,2017,0
51,63344,SAINT-GAL-SUR-SIOULE,Combrailles Sioule et Morge,Saint-Georges-de-Mons,0,0,0,0,0,0,0,0,2017,0
52,63349,SAINT-GEORGES-DE-MONS,Combrailles Sioule et Morge,Saint-Georges-de-Mons,68,43,25,11,17,40,39,29,2017,0
53,63060,BUSSIERES,Pays de Saint-Eloy,Saint-Eloy-Les-Mines,0,0,0,0,0,0,0,0,2017,0
54,63101,CHATEAU-SUR-CHER,Pays de Saint-Eloy,Saint-Eloy-Les-Mines,6,0,0,0,0,0,0,0,2017,0
55,63293,LE QUARTIER,Pays de Saint-Eloy,Saint-Eloy-Les-Mines,11,8,0,0,0,10,0,9,2017,0
56,63360,SAINT-HILAIRE,Pays de Saint-Eloy,Saint-Eloy-Les-Mines,18,14,0,0,6,12,11,7,2017,0
57,63369,SAINT-JULIEN-LA-GENESTE,Pays de Saint-Eloy,Saint-Eloy-Les-Mines,0,0,0,0,0,0,0,0,2017,0
58,63408,SAURET-BESSERVE,Pays de Saint-Eloy,Saint-Eloy-Les-Mines,0,0,0,0,0,0,0,0,2017,0
59,63115,COMBRAILLES,Chavanon Combrailles et Volcans,Saint-Ours,8,0,0,0,0,0,0,0,2017,0
60,63118,CONDAT-EN-COMBRAILLE,Chavanon Combrailles et Volcans,Saint-Ours,27,16,11,0,6,17,18,9,2017,0
61,63191,LASTIC,Chavanon Combrailles et Volcans,Saint-Ours,6,0,0,0,0,0,0,0,2017,0
