,CODE_COMMUNE,LIBL_COMMUNE,NOM_EPCI,NOM_CANTON,TOTAL,TOTAL_FEM,TOTAL_HOM,TOTAL_M75A,TOTAL_7584A,TOTAL_P85A,TOTAL_DOM,TOTAL_ETA,ANNEE_REF,CODE_CANTON
1,63356,SAINT-GERVAZY,Agglo Pays d'Issoire,Brassac-Les-Mines,7,7,0,0,0,0,0,0,2018,0
2,63375,SAINT-MARTIN-DES-PLAINS,Agglo Pays d'Issoire,Brassac-Les-Mines,0,0,0,0,0,0,0,0,2018,0
3,63415,SAUXILLANGES,Agglo Pays d'Issoire,Brassac-Les-Mines,28,21,7,0,10,16,20,8,2018,0
4,63442,VALZ-SOUS-CHATEAUNEUF,Agglo Pays d'Issoire,Brassac-Les-Mines,0,0,0,0,0,0,0,0,2018,0
5,63040,BILLOM,Billom Communauté,Billom,97,79,18,16,27,54,48,49,2018,0
6,63049,BOUZEL,Billom Communauté,Billom,7,0,0,0,0,0,0,0,2018,0
7,63154,ESPIRAT,Billom Communauté,Billom,8,6,0,0,0,0,6,0,2018,0
8,63155,ESTANDEUIL,Billom Communauté,Billom,7,0,0,0,0,7,0,0,2018,0
9,63226,MEZEL,Billom Communauté,Billom,0,0,0,0,0,0,0,0,2018,0
10,63252,NEUVILLE,Billom Communauté,Billom,9,0,0,0,0,7,0,6,2018,0
11,63368,SAINT-JULIEN-DE-COPPEL,Billom Communauté,Billom,20,13,7,0,0,16,8,12,2018,0
12,63438,TREZIOUX,Billom Communauté,Billom,17,13,0,0,0,13,8,9,2018,0
13,63128,CREVANT-LAVEINE,Entre Dore et Allier,Lezoux,16,12,0,0,0,11,8,8,2018,0
14,63131,CULHAT,Entre Dore et Allier,Lezoux,23,17,6,0,7,16,14,9,2018,0
15,63195,LEZOUX,Entre Dore et Allier,Lezoux,136,110,26,16,28,92,79,57,2018,0
16,63265,ORLEAT,Entre Dore et Allier,Lezoux,32,22,10,0,7,23,19,13,2018,0
17,63027,BAFFIE,Ambert Livradois Forez,Ambert,0,0,0,0,0,0,0,0,2018,0
18,63105,CHAUMONT-LE-BOURG,Ambert Livradois Forez,Ambert,8,0,0,0,0,0,0,0,2018,0
19,63394,SAINT-ROMAIN,Ambert Livradois Forez,Ambert,11,7,0,0,0,7,0,7,2018,0
20,63002,AIX-LA-FAYETTE,Ambert Livradois Forez,Monts du Livradois,0,0,0,0,0,0,0,0,2018,0
21,63065,CEILLOUX,Ambert Livradois Forez,Monts du Livradois,7,0,0,0,0,0,0,0,2018,0
22,63076,CHAMBON-SUR-DOLORE,Ambert Livradois Forez,Monts du Livradois,9,7,0,0,0,0,7,0,2018,0
23,63142,ECHANDELYS,Ambert Livradois Forez,Monts du Livradois,13,13,0,0,0,6,8,0,2018,0
24,63207,MARAT,Ambert Livradois Forez,Monts du Livradois,33,19,14,0,7,22,14,19,2018,0
25,63337,SAINT-ELOY-LA-GLACIERE,Ambert Livradois Forez,Monts du Livradois,0,0,0,0,0,0,0,0,2018,0
26,63343,SAINT-FLOUR,Thiers Dore et Montagne,Monts du Livradois,6,0,0,0,0,6,0,0,2018,0
27,63434,TOURS-SUR-MEYMONT,Ambert Livradois Forez,Monts du Livradois,25,14,11,0,0,19,13,12,2018,0
28,63454,VERTOLAYE,Ambert Livradois Forez,Monts du Livradois,20,16,0,0,0,12,13,7,2018,0
29,63031,BEAULIEU,Agglo Pays d'Issoire,Brassac-Les-Mines,11,8,0,0,6,0,9,0,2018,0
30,63046,BOUDES,Agglo Pays d'Issoire,Brassac-Les-Mines,0,0,0,0,0,0,0,0,2018,0
31,63079,CHAMPAGNAT-LE-JEUNE,Agglo Pays d'Issoire,Brassac-Les-Mines,7,6,0,0,0,6,0,0,2018,0
32,63156,ESTEIL,Agglo Pays d'Issoire,Brassac-Les-Mines,0,0,0,0,0,0,0,0,2018,0
33,63209,MAREUGHEOL,Agglo Pays d'Issoire,Brassac-Les-Mines,0,0,0,0,0,0,0,0,2018,0
34,63255,NONETTE-ORSONNETTE,Agglo Pays d'Issoire,Brassac-Les-Mines,9,8,0,0,0,8,0,0,2018,0
35,63367,SAINT-JEAN-SAINT-GERVAIS,Agglo Pays d'Issoire,Brassac-Les-Mines,0,0,0,0,0,0,0,0,2018,0
36,63458,VILLENEUVE,Agglo Pays d'Issoire,Brassac-Les-Mines,0,0,0,0,0,0,0,0,2018,0
37,63160,AULHAT-FLAT,Agglo Pays d'Issoire,Issoire,8,6,0,0,0,0,0,0,2018,0
38,63205,MANGLIEU,Mond'Arverne Communauté,Vic-Le-Comte,11,6,0,0,0,9,0,8,2018,0
39,63269,PARENT,Agglo Pays d'Issoire,Vic-Le-Comte,23,17,6,0,0,18,16,7,2018,0
40,63044,BONGHEAT,Billom Communauté,Billom,7,0,0,0,0,0,0,0,2018,0
41,63461,VINZELLES,Entre Dore et Allier,Lezoux,14,11,0,0,0,11,9,0,2018,0
42,63295,RANDAN,Plaine Limagne,Maringues,31,24,7,0,8,20,15,16,2018,0
43,63301,RIS,Thiers Dore et Montagne,Maringues,19,14,0,0,7,10,12,7,2018,0
44,63333,SAINT-DENIS-COMBARNAZAT,Plaine Limagne,Maringues,0,0,0,0,0,0,0,0,2018,0
45,63400,SAINT-SYLVESTRE-PRAGOULIN,Plaine Limagne,Maringues,34,20,14,0,6,27,18,16,2018,0
46,63143,EFFIAT,Plaine Limagne,Aigueperse,14,9,0,0,0,11,0,9,2018,0
47,63200,LUSSAT,Riom Limagne et Volcans,Aigueperse,21,14,7,0,8,10,15,6,2018,0
48,63300,RIOM,Riom Limagne et Volcans,Riom,365,278,87,45,76,244,179,186,2018,0
49,63116,COMBRONDE,Combrailles Sioule et Morge,Saint-Georges-de-Mons,52,37,15,7,9,36,30,22,2018,0
50,63181,JOSERAND,Combrailles Sioule et Morge,Saint-Georges-de-Mons,7,0,0,0,0,7,0,0,2018,0
51,63344,SAINT-GAL-SUR-SIOULE,Combrailles Sioule et Morge,Saint-Georges-de-Mons,6,0,0,0,0,0,0,0,2018,0
52,63349,SAINT-GEORGES-DE-MONS,Combrailles Sioule et Morge,Saint-Georges-de-Mons,64,39,25,13,13,38,39,25,2018,0
53,63060,BUSSIERES,Pays de Saint-Eloy,Saint-Eloy-Les-Mines,0,0,0,0,0,0,0,0,2018,0
54,63101,CHATEAU-SUR-CHER,Pays de Saint-Eloy,Saint-Eloy-Les-Mines,6,0,0,0,0,0,0,0,2018,0
55,63293,LE QUARTIER,Pays de Saint-Eloy,Saint-Eloy-Les-Mines,11,7,0,0,0,10,0,8,2018,0
56,63360,SAINT-HILAIRE,Pays de Saint-Eloy,Saint-Eloy-Les-Mines,15,12,0,0,6,9,8,7,2018,0
57,63369,SAINT-JULIEN-LA-GENESTE,Pays de Saint-Eloy,Saint-Eloy-Les-Mines,0,0,0,0,0,0,0,0,2018,0
58,63408,SAURET-BESSERVE,Pays de Saint-Eloy,Saint-Eloy-Les-Mines,0,0,0,0,0,0,0,0,2018,0
59,63115,COMBRAILLES,Chavanon Combrailles et Volcans,Saint-Ours,7,0,0,0,0,0,0,0,2018,0
60,63118,CONDAT-EN-COMBRAILLE,Chavanon Combrailles et Volcans,Saint-Ours,30,20,10,0,6,21,21,9,2018,0
61,63191,LASTIC,Chavanon Combrailles et Volcans,Saint-Ours,0,0,0,0,0,0,0,0,2018,0
62,63359,SAINT-HILAIRE-LES-MONGES,Chavanon Combrailles et Volcans,Saint-Ours,0,0,0,0,0,0,0,0,2018,0
63,63363,SAINT-JACQUES-D'AMBUR,Chavanon Combrailles et Volcans,Saint-Ours,7,0,0,0,0,0,0,0,2018,0
64,63385,SAINT-PIERRE-LE-CHASTEL,Chavanon Combrailles et Volcans,Saint-Ours,9,6,0,0,0,7,8,0,2018,0
65,63410,SAUVAGNAT,Chavanon Combrailles et Volcans,Saint-Ours,6,6,0,0,0,0,0,0,2018,0
66,63326,SAINT-BONNET-PRES-ORCIVAL,Dômes Sancy Artense,Orcines,16,11,0,0,0,11,13,0,2018,0
67,63386,SAINT-PIERRE-ROCHE,Dômes Sancy Artense,Orcines,12,11,0,0,0,6,8,0,2018,0
