,CODE_COMMUNE,LIBL_COMMUNE,NOM_EPCI,NOM_CANTON,TOTAL,TOTAL_FEM,TOTAL_HOM,TOTAL_M75A,TOTAL_7584A,TOTAL_P85A,TOTAL_DOM,TOTAL_ETA,ANNEE_REF,CODE_CANTON
1,63078,CHAMEANE,Communauté de communes du Pays de Sauxillanges,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2015,0
2,63079,CHAMPAGNAT-LE-JEUNE,Communauté de communes Bassin Minier Montagnes,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2015,0
3,63080,CHAMPEIX,Communauté de communes Puy et Couzes,LE SANCY,28,20,8,0,7,18,0,0,2015,0
4,63081,CHAMPETIERES,Communauté de communes du Pays d'Ambert,AMBERT,8,7,0,0,0,7,0,0,2015,0
5,63082,CHAMPS,Communauté de communes de Côtes de Combrailles,SAINT-GEORGES-DE-MONS,6,6,0,0,0,0,0,0,2015,0
6,63083,CHANAT-LA-MOUTEYRE,Communauté de communes Volvic Sources et Volcans,ORCINES,14,9,0,0,0,7,0,0,2015,0
7,63084,CHANONAT,Communauté de communes Les Cheires,LES MARTRES DE VEYRE,24,17,7,0,0,16,0,0,2015,0
8,63085,CHAPDES-BEAUFORT,Communauté de communes Pontgibaud Sioule et Volcans,SAINT-OURS,23,18,0,0,8,12,0,0,2015,0
9,63086,LA CHAPELLE-AGNON,Communauté de communes du Pays de Cunlhat,LES MONTS DU LIVRADOIS,15,13,0,0,0,10,0,0,2015,0
10,63087,LA CHAPELLE-MARCOUSSE,Ardes Communauté,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2015,0
11,63088,LA CHAPELLE-SUR-USSON,Communauté de communes Bassin Minier Montagnes,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2015,0
12,63089,CHAPPES,Communauté de communes Limagne d'Ennezat,AIGUEPERSE,24,16,8,0,11,9,0,0,2015,0
13,63090,CHAPTUZAT,Communauté de communes Nord Limagne,AIGUEPERSE,7,7,0,0,0,0,0,0,2015,0
14,63091,CHARBONNIER-LES-MINES,Communauté de communes Lembron Val d'Allier,BRASSAC-LES-MINES,21,18,0,0,6,13,0,0,2015,0
15,63092,CHARBONNIERES-LES-VARENNES,Communauté de communes Volvic Sources et Volcans,SAINT-OURS,29,24,0,0,6,20,0,0,2015,0
16,63093,CHARBONNIERES-LES-VIEILLES,Manzat Communauté,SAINT-GEORGES-DE-MONS,28,15,13,0,8,15,0,0,2015,0
17,63094,CHARENSAT,Communauté de communes Coeur de Combrailles,SAINT-ELOY-LES-MINES,21,17,0,0,0,13,0,0,2015,0
18,63095,CHARNAT,Communauté de communes entre Allier et Bois Noirs,MARINGUES,13,7,6,0,6,6,0,0,2015,0
